date,song,artist,rank,weekly_videos,image_url
2022-09-11,It's Corn,Tariq & The Gregory Brothers & Recess Therapy,3,325K,https://tokchart.com/img/7133362813254388523/600
2022-09-11,Aesthetic,Tollan Kim,4,270K,https://tokchart.com/img/7072513628145977346/600
2022-09-11,AMAZING,Phoebe,5,257K,https://tokchart.com/img/7067274755530951429/600
2022-09-11,GATÚBELA,KAROL G & Maldy,6,241K,https://tokchart.com/img/7135848174207387650/600
2022-09-11,BILLIE EILISH.,Armani White,7,237K,https://tokchart.com/img/7096439256658233345/600
2022-09-11,BIZCOCHITO,ROSALÍA,8,230K,https://tokchart.com/img/7076281174691973122/600
2022-09-11,STFU,Digga D,9,226K,https://tokchart.com/img/7116886860109973505/600
2022-09-11,Fallen down - Slowed,「Incørrect」,10,200K,https://tokchart.com/img/7114777172467779585/600
2022-09-18,super freaky girl x luxurious,xxtristanxo,1,294K,https://tokchart.com/img/7134869378033552171/600
2022-09-18,Love You So,The King Khan & BBQ Show,2,218K,https://tokchart.com/img/6728562975734515713/600
2022-09-18,BIZCOCHITO,ROSALÍA,3,218K,https://tokchart.com/img/7076281174691973122/600
2022-09-18,It's Corn,Tariq & The Gregory Brothers & Recess Therapy,4,198K,https://tokchart.com/img/7133362813254388523/600
2022-09-18,GATÚBELA,KAROL G & Maldy,5,194K,https://tokchart.com/img/7135848174207387650/600
2022-09-18,Really Mine,Dropgun & Natan Chaim,6,178K,https://tokchart.com/img/5000000001318340979/600
2022-09-18,Aesthetic,Tollan Kim,7,158K,https://tokchart.com/img/7072513628145977346/600
2022-09-18,Lenggang Puspita,Afgan,8,156K,https://tokchart.com/img/6794747360292390913/600
2022-09-18,It's Ok (Slowed),Edith Whiskers,9,152K,https://tokchart.com/img/6735516841680046853/600
2022-09-18,Funny Song,Funny Song Studio & Sounds Reel,10,151K,https://tokchart.com/img/6732536571318257666/600
2022-09-25,Love You So,The King Khan & BBQ Show,1,253K,https://tokchart.com/img/6728562975734515713/600
2022-09-25,GATÚBELA,KAROL G & Maldy,2,168K,https://tokchart.com/img/7135848174207387650/600
2022-09-25,Funny Song,Funny Song Studio & Sounds Reel,3,166K,https://tokchart.com/img/6732536571318257666/600
2022-09-25,BIZCOCHITO,ROSALÍA,4,160K,https://tokchart.com/img/7076281174691973122/600
2022-09-25,"Luna, amore e no",Piero Piccioni,5,128K,https://tokchart.com/img/6829869215093114881/600
2022-09-25,Дикая львица,ALEX&RUS,6,118K,https://tokchart.com/img/6707774381675808769/600
2022-09-25,Later Bitches,The Prince Karma,7,116K,https://tokchart.com/img/6717484436721518593/600
2022-09-25,Calm Down,Rema & Selena Gomez,8,114K,https://tokchart.com/img/7133394674944837634/600
2022-09-25,STFU,Digga D,9,110K,https://tokchart.com/img/7116886860109973505/600
2022-09-25,Mi tesoro (feat. Nicky Jam),Zion & Lennox,10,107K,https://tokchart.com/img/224823283911897089/600
2022-10-02,Love You So,The King Khan & BBQ Show,1,257K,https://tokchart.com/img/6728562975734515713/600
2022-10-02,Bandook,Nirvair Pannu,2,238K,https://tokchart.com/img/6831600800679069698/600
2022-10-02,original sound - zabi_official_5,丶乙ÅBi〆,3,167K,https://tokchart.com/img/6674813094268652294/600
2022-10-02,GATÚBELA,KAROL G & Maldy,4,160K,https://tokchart.com/img/7135848174207387650/600
2022-10-02,Funny Song,Funny Song Studio & Sounds Reel,5,142K,https://tokchart.com/img/6732536571318257666/600
2022-10-02,BIZCOCHITO,ROSALÍA,6,118K,https://tokchart.com/img/7076281174691973122/600
2022-10-02,Дикая львица,ALEX&RUS,7,102K,https://tokchart.com/img/6707774381675808769/600
2022-10-02,Law (feat. E-40),Yo Gotti,8,95K,https://tokchart.com/img/6716154648643815425/600
2022-10-02,CUFF IT,Beyoncé,9,94K,https://tokchart.com/img/7125598551698049025/600
2022-10-02,Mi tesoro (feat. Nicky Jam),Zion & Lennox,10,88K,https://tokchart.com/img/224823283911897089/600
2022-10-09,CUFF IT,Beyoncé,1,273K,https://tokchart.com/img/7125598551698049025/600
2022-10-09,original sound - bipin_sigdel,bipin_sigdel,2,256K,https://tokchart.com/img/6610564762407275270/600
2022-10-09,Butakera,La Joaqui & Alan Gomez & EL NOBA,3,252K,https://tokchart.com/img/7145171223088319237/600
2022-10-09,Love You So,The King Khan & BBQ Show,4,245K,https://tokchart.com/img/6728562975734515713/600
2022-10-09,original sound - zabi_official_5,丶乙ÅBi〆,5,166K,https://tokchart.com/img/6674813094268652294/600
2022-10-09,BIZCOCHITO,ROSALÍA,6,123K,https://tokchart.com/img/7076281174691973122/600
2022-10-09,Funny Song,Funny Song Studio & Sounds Reel,7,98K,https://tokchart.com/img/6732536571318257666/600
2022-10-09,Mi tesoro (feat. Nicky Jam),Zion & Lennox,8,90K,https://tokchart.com/img/224823283911897089/600
2022-10-09,Law (feat. E-40),Yo Gotti,9,89K,https://tokchart.com/img/6716154648643815425/600
2022-10-09,BA STRAATA,2woShort,10,84K,https://tokchart.com/img/7144106099350735621/600
2022-10-16,Tokei no Uta,Nonochan(Nonoka Murakata),1,813K,https://tokchart.com/img/7040608212294388481/600
2022-10-16,Love You So,The King Khan & BBQ Show,2,391K,https://tokchart.com/img/6728562975734515713/600
2022-10-16,Unholy,Sam Smith & Kim Petras,3,289K,https://tokchart.com/img/7145411702920742914/600
2022-10-16,Lpb Poody - Address It,𝗦𝗮𝘃𝗶𝗻𝗮✨,4,276K,https://tokchart.com/img/6815312113767123718/600
2022-10-16,Butakera,La Joaqui & Alan Gomez & EL NOBA,5,274K,https://tokchart.com/img/7145171223088319237/600
2022-10-16,CUFF IT,Beyoncé,6,271K,https://tokchart.com/img/7125598551698049025/600
2022-10-16,PUNTO 40,Rauw Alejandro & Baby Rasta,7,220K,https://tokchart.com/img/7146709505731398406/600
2022-10-16,S.I.M.P (Squirrels In My Pants) [From 'Phineas And Ferb'],Geek Music,8,219K,https://tokchart.com/img/7033436299269556225/600
2022-10-16,Cool Kids (our sped up version),Echosmith,9,198K,https://tokchart.com/img/7136115827699124226/600
2022-10-16,Forget,XXKATUSJINSUX,10,178K,https://tokchart.com/img/7141159460742891522/600
2022-10-23,Tokei no Uta,Nonochan(Nonoka Murakata),1,1M,https://tokchart.com/img/7040608212294388481/600
2022-10-23,Love You So,The King Khan & BBQ Show,2,415K,https://tokchart.com/img/6728562975734515713/600
2022-10-23,Unholy,Sam Smith & Kim Petras,3,296K,https://tokchart.com/img/7145411702920742914/600
2022-10-23,S.I.M.P (Squirrels In My Pants) [From 'Phineas And Ferb'],Geek Music,4,293K,https://tokchart.com/img/7033436299269556225/600
2022-10-23,Beat Automotivo Tan Tan Tan Viral,WZ Beat,5,292K,https://tokchart.com/img/7098939394085702406/600
2022-10-23,Lpb Poody - Address It,𝗦𝗮𝘃𝗶𝗻𝗮✨,6,285K,https://tokchart.com/img/6815312113767123718/600
2022-10-23,PUNTO 40,Rauw Alejandro & Baby Rasta,7,273K,https://tokchart.com/img/7146709505731398406/600
2022-10-23,Funny Song,Funny Song Studio & Sounds Reel,8,168K,https://tokchart.com/img/6732536571318257666/600
2022-10-23,MOMENTS IN LIFE,Turreekk,9,157K,https://tokchart.com/img/6769569394507909121/600
2022-10-23,CUFF IT,Beyoncé,10,155K,https://tokchart.com/img/7125598551698049025/600
2022-11-06,Halloween ・ cute horror song,PeriTune,1,388K,https://tokchart.com/img/6817180237894256641/600
2022-11-06,Love You So,The King Khan & BBQ Show,2,358K,https://tokchart.com/img/6728562975734515713/600
2022-11-06,Made You Look,Meghan Trainor,3,330K,https://tokchart.com/img/7153075272433060650/600
2022-11-06,Psycho Killer,Talking Heads,4,229K,https://tokchart.com/img/6593554956505058053/600
2022-11-06,S.I.M.P (Squirrels In My Pants) [From 'Phineas And Ferb'],Geek Music,5,200K,https://tokchart.com/img/7033436299269556225/600
2022-11-06,Дикая львица,ALEX&RUS,6,194K,https://tokchart.com/img/6707774381675808769/600
2022-11-06,Funny Song,Funny Song Studio & Sounds Reel,7,158K,https://tokchart.com/img/6732536571318257666/600
2022-11-06,Miss You,Oliver Tree & Robin Schulz,8,152K,https://tokchart.com/img/7128216661160658946/600
2022-11-06,Mi tesoro (feat. Nicky Jam),Zion & Lennox,9,123K,https://tokchart.com/img/224823283911897089/600
2022-11-06,Take Me to Hell,Chloe Adams,10,122K,https://tokchart.com/img/7151329008582412289/600
2022-11-13,Tokei no Uta,Nonochan(Nonoka Murakata),1,520K,https://tokchart.com/img/7040608212294388481/600
2022-11-13,Made You Look,Meghan Trainor,2,372K,https://tokchart.com/img/7153075272433060650/600
2022-11-13,Love You So,The King Khan & BBQ Show,3,348K,https://tokchart.com/img/6728562975734515713/600
2022-11-13,Дикая львица,ALEX&RUS,4,198K,https://tokchart.com/img/6707774381675808769/600
2022-11-13,Psycho Killer,Talking Heads,5,187K,https://tokchart.com/img/6593554956505058053/600
2022-11-13,Funny Song,Funny Song Studio & Sounds Reel,6,182K,https://tokchart.com/img/6732536571318257666/600
2022-11-13,S.I.M.P (Squirrels In My Pants) [From 'Phineas And Ferb'],Geek Music,7,148K,https://tokchart.com/img/7033436299269556225/600
2022-11-13,CUFF IT,Beyoncé,8,144K,https://tokchart.com/img/7125598551698049025/600
2022-11-13,El Ladrón de Mi Sueño,Beatriz Sanchez,9,127K,https://tokchart.com/img/7088991074785479429/600
2022-11-13,Mi tesoro (feat. Nicky Jam),Zion & Lennox,10,120K,https://tokchart.com/img/224823283911897089/600
2022-11-20,Tokei no Uta,Nonochan(Nonoka Murakata),1,821K,https://tokchart.com/img/7040608212294388481/600
2022-11-20,SWIPE,ALYPH,2,471K,https://tokchart.com/img/7154178442622142466/600
2022-11-20,Made You Look,Meghan Trainor,3,410K,https://tokchart.com/img/7153075272433060650/600
2022-11-20,Love You So,The King Khan & BBQ Show,4,350K,https://tokchart.com/img/6728562975734515713/600
2022-11-20,A BAH A BAH A BA BA BA,.youk2,5,333K,https://tokchart.com/img/7162572534200994565/600
2022-11-20,Why You Asking All Them Questions,Spoken Reasons,6,265K,https://tokchart.com/img/6815815835320404741/600
2022-11-20,All I Want For Christmas Is You,Mariah Carey,7,199K,https://tokchart.com/img/222454852260487168/600
2022-11-20,Дикая львица,ALEX&RUS,8,198K,https://tokchart.com/img/6707774381675808769/600
2022-11-20,Funny Song,Funny Song Studio & Sounds Reel,9,179K,https://tokchart.com/img/6732536571318257666/600
2022-11-20,Funny Laugh no no no,Sound Effect,10,135K,https://tokchart.com/img/6642168923733101314/600
2022-11-27,Love You So,The King Khan & BBQ Show,1,432K,https://tokchart.com/img/6728562975734515713/600
2022-11-27,Made You Look,Meghan Trainor,2,371K,https://tokchart.com/img/7153075272433060650/600
2022-11-27,Tokei no Uta,Nonochan(Nonoka Murakata),3,324K,https://tokchart.com/img/7040608212294388481/600
2022-11-27,SWIPE,ALYPH,4,310K,https://tokchart.com/img/7154178442622142466/600
2022-11-27,A BAH A BAH A BA BA BA,.youk2,5,274K,https://tokchart.com/img/7162572534200994565/600
2022-11-27,La La La (Brasil 2014)/Waka Waka (This Time for Africa) Medley (El Dorado World Tour Live),Shakira,6,218K,https://tokchart.com/img/6758976609304184833/600
2022-11-27,All I Want For Christmas Is You,Mariah Carey,7,217K,https://tokchart.com/img/222454852260487168/600
2022-11-27,PUNTO 40,Rauw Alejandro & Baby Rasta,8,195K,https://tokchart.com/img/7146709505731398406/600
2022-11-27,Why You Asking All Them Questions,Spoken Reasons,9,190K,https://tokchart.com/img/6815815835320404741/600
2022-11-27,Дикая львица,ALEX&RUS,10,180K,https://tokchart.com/img/6707774381675808769/600
2022-12-04,Tokei no Uta,Nonochan(Nonoka Murakata),1,543K,https://tokchart.com/img/7040608212294388481/600
2022-12-04,Love You So,The King Khan & BBQ Show,2,436K,https://tokchart.com/img/6728562975734515713/600
2022-12-04,Parado no Bailão,MC L da Vinte & MC Gury,3,389K,https://tokchart.com/img/6767387698505189377/600
2022-12-04,All I Want For Christmas Is You,Mariah Carey,4,379K,https://tokchart.com/img/222454852260487168/600
2022-12-04,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook & BTS,5,352K,https://tokchart.com/img/7167503660023285762/600
2022-12-04,La La La (Brasil 2014)/Waka Waka (This Time for Africa) Medley (El Dorado World Tour Live),Shakira,6,211K,https://tokchart.com/img/6758976609304184833/600
2022-12-04,Дикая львица,ALEX&RUS,7,187K,https://tokchart.com/img/6707774381675808769/600
2022-12-04,Funny Song,Funny Song Studio & Sounds Reel,8,171K,https://tokchart.com/img/6732536571318257666/600
2022-12-04,It's Beginning to Look a Lot like Christmas,Michael Bublé,9,148K,https://tokchart.com/img/6753170535640729601/600
2022-12-04,PUNTO 40,Rauw Alejandro & Baby Rasta,10,142K,https://tokchart.com/img/7146709505731398406/600
2022-12-11,오리지널 사운드 - heyy,heyy,1,590K,https://tokchart.com/img/7169243527711361798/600
2022-12-11,All I Want For Christmas Is You,Mariah Carey,2,462K,https://tokchart.com/img/222454852260487168/600
2022-12-11,可愛くてごめん (feat. かぴ),HoneyWorks,3,443K,https://tokchart.com/img/7127871335373015041/600
2022-12-11,Tubarão Te Amo,DJ LK da Escócia & Tchakabum & Mc Ryan SP,4,389K,https://tokchart.com/img/7149226021210818562/600
2022-12-11,Love You So,The King Khan & BBQ Show,5,224K,https://tokchart.com/img/6728562975734515713/600
2022-12-11,Tokei no Uta,Nonochan(Nonoka Murakata),6,198K,https://tokchart.com/img/7040608212294388481/600
2022-12-11,Parado no Bailão,MC L da Vinte & MC Gury,7,177K,https://tokchart.com/img/6767387698505189377/600
2022-12-11,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook & BTS,8,161K,https://tokchart.com/img/7167503660023285762/600
2022-12-11,It's Beginning to Look a Lot like Christmas,Michael Bublé,9,125K,https://tokchart.com/img/6753170535640729601/600
2022-12-11,Made You Look,Meghan Trainor,10,98K,https://tokchart.com/img/7153075272433060650/600
2022-12-18,可愛くてごめん (feat. かぴ),HoneyWorks,1,765K,https://tokchart.com/img/7127871335373015041/600
2022-12-18,오리지널 사운드 - heyy,heyy,2,717K,https://tokchart.com/img/7169243527711361798/600
2022-12-18,Tokei no Uta,Nonochan(Nonoka Murakata),3,457K,https://tokchart.com/img/7040608212294388481/600
2022-12-18,All I Want For Christmas Is You,Mariah Carey,4,443K,https://tokchart.com/img/222454852260487168/600
2022-12-18,Tubarão Te Amo,DJ LK da Escócia & Tchakabum & Mc Ryan SP,5,418K,https://tokchart.com/img/7149226021210818562/600
2022-12-18,Made You Look,Meghan Trainor,6,182K,https://tokchart.com/img/7153075272433060650/600
2022-12-18,It's Beginning to Look a Lot like Christmas,Michael Bublé,7,129K,https://tokchart.com/img/6753170535640729601/600
2022-12-18,Nonsense by Sabrina carpenter,🍉,8,128K,https://tokchart.com/img/7121710640280226566/600
2022-12-18,SWIPE,ALYPH,9,71K,https://tokchart.com/img/7154178442622142466/600
2022-12-18,original sound - natcsluvr,𝑵𝑨𝑻𝑪𝑺𝑳𝑼𝑽𝑹❦,10,67K,https://tokchart.com/img/7045715956424772354/600
2022-12-25,,,1,849K,https://tokchart.com/img/7116825617672456966/600
2022-12-25,All I Want For Christmas Is You,Mariah Carey,2,800K,https://tokchart.com/img/222454852260487168/600
2022-12-25,Tokei no Uta,Nonochan(Nonoka Murakata),3,683K,https://tokchart.com/img/7040608212294388481/600
2022-12-25,可愛くてごめん (feat. かぴ),HoneyWorks,4,226K,https://tokchart.com/img/7127871335373015041/600
2022-12-25,오리지널 사운드 - heyy,heyy,5,216K,https://tokchart.com/img/7169243527711361798/600
2022-12-25,Nonsense by Sabrina carpenter,🍉,6,166K,https://tokchart.com/img/7121710640280226566/600
2022-12-25,Tubarão Te Amo,DJ LK da Escócia & Tchakabum & Mc Ryan SP,7,152K,https://tokchart.com/img/7149226021210818562/600
2022-12-25,Made You Look,Meghan Trainor,8,138K,https://tokchart.com/img/7153075272433060650/600
2022-12-25,It's Beginning to Look a Lot like Christmas,Michael Bublé,9,112K,https://tokchart.com/img/6753170535640729601/600
2022-12-25,PUNTO 40,Rauw Alejandro & Baby Rasta,10,89K,https://tokchart.com/img/7146709505731398406/600
2023-01-08,,,1,1M,https://tokchart.com/img/7116825617672456966/600
2023-01-08,Beat Automotivo Tan Tan Tan Viral,WZ Beat,2,406K,https://tokchart.com/img/7098939394085702406/600
2023-01-08,Tokei no Uta,Nonochan(Nonoka Murakata),3,373K,https://tokchart.com/img/7040608212294388481/600
2023-01-08,오리지널 사운드 - heyy,heyy,4,329K,https://tokchart.com/img/7169243527711361798/600
2023-01-08,Made You Look,Meghan Trainor,5,194K,https://tokchart.com/img/7153075272433060650/600
2023-01-08,Tubarão Te Amo,DJ LK da Escócia & Tchakabum & Mc Ryan SP,6,147K,https://tokchart.com/img/7149226021210818562/600
2023-01-08,Happiest Year,Jaymes Young,7,143K,https://tokchart.com/img/6711647551864440834/600
2023-01-08,Mi tesoro (feat. Nicky Jam),Zion & Lennox,8,142K,https://tokchart.com/img/224823283911897089/600
2023-01-08,"Paligoy-Ligoy - From ""Diary Ng Panget""",Nadine Lustre,9,116K,https://tokchart.com/img/225280359888797696/600
2023-01-08,Struggler,R Nait,10,106K,https://tokchart.com/img/6716374992059108101/600
2023-01-15,,,1,747K,https://tokchart.com/img/7116825617672456966/600
2023-01-15,Beat Automotivo Tan Tan Tan Viral,WZ Beat,2,612K,https://tokchart.com/img/7098939394085702406/600
2023-01-15,Feel Good Inc.,Gorillaz,3,281K,https://tokchart.com/img/6711176322527283201/600
2023-01-15,Love You So,The King Khan & BBQ Show,4,243K,https://tokchart.com/img/6728562975734515713/600
2023-01-15,Made You Look,Meghan Trainor,5,223K,https://tokchart.com/img/7153075272433060650/600
2023-01-15,오리지널 사운드 - heyy,heyy,6,206K,https://tokchart.com/img/7169243527711361798/600
2023-01-15,"Paligoy-Ligoy - From ""Diary Ng Panget""",Nadine Lustre,7,196K,https://tokchart.com/img/225280359888797696/600
2023-01-15,Miss You,Oliver Tree & Robin Schulz,8,133K,https://tokchart.com/img/7128216661160658946/600
2023-01-15,Monkeys Spinning Monkeys,Kevin MacLeod & Kevin The Monkey,9,122K,https://tokchart.com/img/6746993352891189249/600
2023-01-15,可愛くてごめん (feat. かぴ),HoneyWorks,10,116K,https://tokchart.com/img/7127871335373015041/600
2023-02-12,Love You So,The King Khan & BBQ Show,1,417K,https://tokchart.com/img/6728562975734515713/600
2023-02-12,Flowers,Miley Cyrus,2,395K,https://tokchart.com/img/7187816271247853569/600
2023-02-12,Dior,Pop Smoke,3,342K,https://tokchart.com/img/6756373598417455105/600
2023-02-12,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,4,255K,https://tokchart.com/img/7187522835294881793/600
2023-02-12,Sure Thing (sped up),Miguel,5,207K,https://tokchart.com/img/7168903203530476293/600
2023-02-12,1 second count / when button pressed / time signal 23(1117365),QUESS,6,207K,https://tokchart.com/img/7021559313206347778/600
2023-02-12,Collide (sped up),Justine Skye,7,206K,https://tokchart.com/img/7149845524978338561/600
2023-02-12,Monkeys Spinning Monkeys,Kevin MacLeod & Kevin The Monkey,8,183K,https://tokchart.com/img/6746993352891189249/600
2023-02-12,Her Way (Sped Up),PARTYNEXTDOOR,9,175K,https://tokchart.com/img/7123654694953585454/600
2023-02-12,Mio Mao la la la la la,🦇,10,153K,https://tokchart.com/img/7057033541565074181/600
2023-02-19,Hundred Miles (Sped Up Version),Yall & Gabriela Richardson,1,393K,https://tokchart.com/img/7180330143427087110/600
2023-02-19,Boy's a liar Pt. 2,PinkPantheress & Ice Spice,2,224K,https://tokchart.com/img/7189713675660314626/600
2023-02-19,Love You So,The King Khan & BBQ Show,3,215K,https://tokchart.com/img/6728562975734515713/600
2023-02-19,1 second count / when button pressed / time signal 23(1117365),QUESS,4,197K,https://tokchart.com/img/7021559313206347778/600
2023-02-19,Mio Mao la la la la la,🦇,5,162K,https://tokchart.com/img/7057033541565074181/600
2023-02-19,It's A Wrap - Sped Up,Mariah Carey,6,159K,https://tokchart.com/img/7109548851984190213/600
2023-02-19,Flowers,Miley Cyrus,7,143K,https://tokchart.com/img/7187816271247853569/600
2023-02-19,Green Green Grass (Sped-Up),George Ezra,8,137K,https://tokchart.com/img/7111302646232795910/600
2023-02-19,Aesthetic,Tollan Kim,9,92K,https://tokchart.com/img/7072513628145977346/600
2023-02-19,Made You Look,Meghan Trainor,10,80K,https://tokchart.com/img/7153075272433060650/600
2023-02-26,Hundred Miles (Sped Up Version),Yall & Gabriela Richardson,1,839K,https://tokchart.com/img/7180330143427087110/600
2023-02-26,Boy's a liar Pt. 2,PinkPantheress & Ice Spice,2,655K,https://tokchart.com/img/7189713675660314626/600
2023-02-26,Love You So,The King Khan & BBQ Show,3,618K,https://tokchart.com/img/6728562975734515713/600
2023-02-26,Flowers,Miley Cyrus,4,293K,https://tokchart.com/img/7187816271247853569/600
2023-02-26,It's A Wrap - Sped Up,Mariah Carey,5,196K,https://tokchart.com/img/7109548851984190213/600
2023-02-26,Mio Mao la la la la la,🦇,6,185K,https://tokchart.com/img/7057033541565074181/600
2023-02-26,Made You Look,Meghan Trainor,7,171K,https://tokchart.com/img/7153075272433060650/600
2023-02-26,The Freshmen,The Verve Pipe,8,168K,https://tokchart.com/img/223207947944730624/600
2023-02-26,Monkeys Spinning Monkeys,Kevin MacLeod & Kevin The Monkey,9,165K,https://tokchart.com/img/6746993352891189249/600
2023-02-26,lovers rock,Aleena.*-,10,164K,https://tokchart.com/img/7170656153417403141/600
2023-03-05,Boy's a liar Pt. 2,PinkPantheress & Ice Spice,1,711K,https://tokchart.com/img/7189713675660314626/600
2023-03-05,Hundred Miles (Sped Up Version),Yall & Gabriela Richardson,2,661K,https://tokchart.com/img/7180330143427087110/600
2023-03-05,Love You So,The King Khan & BBQ Show,3,477K,https://tokchart.com/img/6728562975734515713/600
2023-03-05,Flowers,Miley Cyrus,4,224K,https://tokchart.com/img/7187816271247853569/600
2023-03-05,Made You Look,Meghan Trainor,5,149K,https://tokchart.com/img/7153075272433060650/600
2023-03-05,original sound - sagar8454,🌷💗🌷🌷💖🌷🌷⭐🌷,6,145K,https://tokchart.com/img/6645703143759809286/600
2023-03-05,오리지널 사운드 - bluespoetry,bluespoetry,7,130K,https://tokchart.com/img/7128317846433630982/600
2023-03-05,Tokei no Uta,Nonochan(Nonoka Murakata),8,113K,https://tokchart.com/img/7040608212294388481/600
2023-03-05,lovers rock,Aleena.*-,9,111K,https://tokchart.com/img/7170656153417403141/600
2023-03-05,Jo Tum Na Ho Shayad,Arijit Singh,10,109K,https://tokchart.com/img/6784743024489400321/600
2023-03-12,Ting Ting Ting,𝕽𝖎𝖆𝖓..𝓐,1,3M,https://tokchart.com/img/7058428041680177946/600
2023-03-12,Tú Foto,Ozuna,2,682K,https://tokchart.com/img/276939931384438784/600
2023-03-12,Boys a Liar Pt2 Sped Up,Kuya Magik 🪄,3,670K,https://tokchart.com/img/7203560112412166938/600
2023-03-12,Hundred Miles (Sped Up Version),Yall & Gabriela Richardson,4,559K,https://tokchart.com/img/7180330143427087110/600
2023-03-12,original sound - miamugs,Mia Mugavero,5,233K,https://tokchart.com/img/7035466543844739886/600
2023-03-12,Love You So,The King Khan & BBQ Show,6,190K,https://tokchart.com/img/6728562975734515713/600
2023-03-12,Mio Mao la la la la la,🦇,7,146K,https://tokchart.com/img/7057033541565074181/600
2023-03-12,lovers rock,Aleena.*-,8,104K,https://tokchart.com/img/7170656153417403141/600
2023-03-12,Blood Sweat & Tears,BTS,9,97K,https://tokchart.com/img/275737148002390016/600
2023-03-12,It's A Wrap - Sped Up,Mariah Carey,10,94K,https://tokchart.com/img/7109548851984190213/600
2023-03-19,Beat Automotivo Tan Tan Tan Viral,WZ Beat,1,430K,https://tokchart.com/img/7098939394085702406/600
2023-03-19,Hundred Miles (Sped Up Version),Yall & Gabriela Richardson,2,403K,https://tokchart.com/img/7180330143427087110/600
2023-03-19,Boys a Liar Pt2 Sped Up,Kuya Magik 🪄,3,339K,https://tokchart.com/img/7203560112412166938/600
2023-03-19,Enak Susunya,Faiha,4,326K,https://tokchart.com/img/6623666548366117637/600
2023-03-19,TQG,KAROL G & Shakira,5,287K,https://tokchart.com/img/7200995956416841729/600
2023-03-19,original sound - miamugs,Mia Mugavero,6,285K,https://tokchart.com/img/7035466543844739886/600
2023-03-19,original sound - shelby.willis,Shelby Willis,7,258K,https://tokchart.com/img/6854383948970117893/600
2023-03-19,Love You So,The King Khan & BBQ Show,8,253K,https://tokchart.com/img/6728562975734515713/600
2023-03-19,Vacilão,Zé Felipe & Igow & Wesley Safadão,9,238K,https://tokchart.com/img/7208592300853692418/600
2023-03-19,original sound - kiranraj9998015,§æď bøý Řj,10,199K,https://tokchart.com/img/6699337631467178758/600
2023-03-26,"Rishte Naate (From ""De Dana Dan"")",Rahat Fateh Ali Khan & Suzanne Demello,1,915K,https://tokchart.com/img/6703075400521615361/600
2023-03-26,Beat Automotivo Tan Tan Tan Viral,WZ Beat,2,679K,https://tokchart.com/img/7098939394085702406/600
2023-03-26,TQG,KAROL G & Shakira,3,409K,https://tokchart.com/img/7200995956416841729/600
2023-03-26,Blicky,Fresh X Reckless,4,323K,https://tokchart.com/img/7189151224833247234/600
2023-03-26,original sound - sintilintii,🐻sintilinti🐻,5,308K,https://tokchart.com/img/7199318704700869381/600
2023-03-26,Aesthetic,Tollan Kim,6,302K,https://tokchart.com/img/7072513628145977346/600
2023-03-26,Obsessed With You x All About Him,ARNEL REMIX,7,276K,https://tokchart.com/img/7208944395406625541/600
2023-03-26,Vacilão,Zé Felipe & Igow & Wesley Safadão,8,268K,https://tokchart.com/img/7208592300853692418/600
2023-03-26,Love You So,The King Khan & BBQ Show,9,264K,https://tokchart.com/img/6728562975734515713/600
2023-03-26,Hundred Miles (Sped Up Version),Yall & Gabriela Richardson,10,246K,https://tokchart.com/img/7180330143427087110/600
2023-04-02,Obsessed With You x All About Him,ARNEL REMIX,1,1M,https://tokchart.com/img/7208944395406625541/600
2023-04-02,Loop,Sasscy,2,849K,https://tokchart.com/img/6667809228310186753/600
2023-04-02,original sound - kyo.__.chan,きょっちゃん,3,800K,https://tokchart.com/img/6718973664315869954/600
2023-04-02,Beat Automotivo Tan Tan Tan Viral,WZ Beat,4,750K,https://tokchart.com/img/7098939394085702406/600
2023-04-02,Bounce When She Walk,Ohboyprince,5,510K,https://tokchart.com/img/7200065594014731054/600
2023-04-02,La Chica del Bikini Azul (Sped Up Version),High and Low HITS,6,436K,https://tokchart.com/img/7059161639207127813/600
2023-04-02,Cupid – Twin Ver. (FIFTY FIFTY) – Sped Up Version,sped up 8282,7,368K,https://tokchart.com/img/7204194389054147334/600
2023-04-02,Blicky,Fresh X Reckless,8,358K,https://tokchart.com/img/7189151224833247234/600
2023-04-02,Love You So,The King Khan & BBQ Show,9,358K,https://tokchart.com/img/6728562975734515713/600
2023-04-02,TQG,KAROL G & Shakira,10,336K,https://tokchart.com/img/7200995956416841729/600
2023-04-09,Cupid – Twin Ver. (FIFTY FIFTY) – Sped Up Version,sped up 8282,1,1M,https://tokchart.com/img/7204194389054147334/600
2023-04-09,Obsessed With You x All About Him,ARNEL REMIX,2,1M,https://tokchart.com/img/7208944395406625541/600
2023-04-09,La Chica del Bikini Azul (Sped Up Version),High and Low HITS,3,875K,https://tokchart.com/img/7059161639207127813/600
2023-04-09,Beat Automotivo Tan Tan Tan Viral,WZ Beat,4,795K,https://tokchart.com/img/7098939394085702406/600
2023-04-09,Bounce When She Walk,Ohboyprince,5,643K,https://tokchart.com/img/7200065594014731054/600
2023-04-09,Дикая львица,ALEX&RUS,6,489K,https://tokchart.com/img/6707774381675808769/600
